строка :1 | сумма:0
строка :2 | сумма:0
строка :3 | сумма:123456
строка :4 | сумма:36
строка :5 | сумма:19
строка :6 | сумма:8
строка :7 | сумма:868
строка :8 | сумма:89
строка :9 | сумма:918
строка :10 | сумма:87
строка :11 | сумма:50817
строка :12 | сумма:0
строка :13 | сумма:53324
строка :14 | сумма:20180
строка :15 | сумма:192
строка :16 | сумма:4668932
строка :17 | сумма:86
строка :18 | сумма:997
строка :19 | сумма:193
строка :20 | сумма:76
строка :21 | сумма:0
строка :22 | сумма:0
строка :23 | сумма:0
строка :24 | сумма:0
строка :25 | сумма:152
строка :26 | сумма:0
строка :27 | сумма:0
строка :28 | сумма:99
строка :29 | сумма:0
строка :30 | сумма:0
строка :31 | сумма:246
строка :32 | сумма:0
строка :33 | сумма:0
